"Reference","Qty","M","MPN","Description"
"C1,C2","2","Murata","GCM32ER71H475KA55K","4.7 µF ±10% 50V Ceramic Capacitor X7R 1210 (3225 Metric)"
"C3,C7,C8,C9","4","TAIYO YUDEN","TMK325ABJ476MM-P","47 µF ±20% 25V Ceramic Capacitor X5R 1210 (3225 Metric)"
"C4","1","Murata","GCM188R71E105KA64D","1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C5","1","Murata","GRT1885C1E103FA02D","10000 pF ±1% 25V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C6","1","Murata","GCM1885C2A181FA16J","180 pF ±1% 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C11","1","KEMET","T521V226M025ATE040","22 µF Molded Tantalum Polymer Capacitor 25 V 2917 (7343 Metric) 40mOhm @ 100kHz"
"H1,H2,NT1,NT2","4","","","Mounting Hole with connection,Net tie, 2 pins"
"J1","1","Samtec","LSHM-140-04.0-L-DV-A-N-K-TR","80 Position Connector Self Mating, Non-Gendered, Hermaphroditic Surface Mount Gold"
"L1","1","Coilcraft","XGL4020-222MEC","2.2 µH Shielded Molded Inductor 8.9 A 21.5mOhm Max 1616 (4040 Metric)"
"R1","1","Vishay","CRCW060310K7FKEA","10.7 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R2","1","Vishay","CRCW06031K00FKEA","1 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R3","1","Vishay","CRCW060359K0FKEA","59 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R4","1","Vishay","CRCW06031K33FKTA","1.33 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R5","1","Vishay","CRCW060347K0FKEA","47 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R7","1","Vishay","RCWE0603R500FKEA","500 mOhms ±1% 0.2W, 1/5W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Current Sense, Moisture Resistant Thick Film"
"U1","1","Analog","LT8624SAV#PBF","Buck Switching Regulator IC Positive Adjustable 0V 1 Output 4A 20-TFQFN Exposed Pad"
